Date,BATBC.Open,BATBC.High,BATBC.Low,BATBC.Close,BATBC.Volume,BATBC.Adjusted
2019-08-05,1353.7,1360,1340,1341.7,10387,1341.7
2019-08-04,1383,1383,1351,1353.5,10623,1353.5
2019-08-03,1378.8,1379.1,1366.1,1367.3,9919,1367.3
2019-08-02,1399,1399,1375.1,1377.8,9564,1377.8
2019-08-01,1388,1394.1,1381,1383.3,7308,1383.3
2019-07-31,1393.1,1393.1,1374.1,1385.4,8281,1385.4
2019-07-30,1438.7,1438.7,1391.1,1393.1,19729,1393.1
2019-07-29,1450,1450,1410,1427.9,14557,1427.9
2019-07-28,1440,1449,1371,1440.2,22251,1440.2
2019-07-27,1365,1399,1365,1369.6,22795,1369.6
2019-07-26,1335,1386.9,1334.4,1370.8,19753,1370.8
2019-07-25,1405,1405,1331,1341.4,22011,1341.4
2019-07-24,1440,1443.9,1396.2,1400,19518,1400
2019-07-23,1440,1447.5,1432.1,1436.9,13533,1436.9
2019-07-22,1457.7,1457.8,1433,1439.8,17142,1439.8
2019-07-21,1479,1480,1457.2,1459.1,18526,1459.1
2019-07-20,1480,1497.7,1473,1477.2,25830,1477.2
2019-07-19,1466.2,1485,1466.2,1476.8,16473,1476.8
2019-07-18,1480.6,1505,1462.2,1466.2,20627,1466.2
2019-07-17,1520,1520,1465.6,1480.6,33811,1480.6
2019-07-16,1533,1549.9,1501,1504.9,32330,1504.9
2019-07-15,1509.2,1543.7,1508.7,1532.6,34436,1532.6
2019-07-14,1560,1560,1497.5,1508.7,56255,1508.7
2019-07-13,1673.3,1673.3,1568.8,1569.5,129194,1569.5
2019-07-12,1717.9,1717.9,1640.1,1673.3,338926,1673.3
2019-07-11,1616.9,1616.9,1616.9,1616.9,42588,1616.9
2019-07-10,4633,4650,4549.1,4565.5,82343,4565.5
2019-07-09,4544.2,4685,4544.2,4607.4,53757,4607.4
2019-07-08,4550,4590,4529.1,4539.5,77300,4539.5
2019-07-07,4483,4600,4483,4547.1,52075,4547.1
2019-07-06,4541,4545,4473.5,4483.1,58846,4483.1
2019-07-05,4650,4650,4528.1,4533.9,58491,4533.9
2019-07-04,4658.6,4659,4598.1,4601.1,42368,4601.1
2019-07-03,4665,4697.9,4600,4626.4,26846,4626.4
2019-07-02,4684.1,4740,4642,4658.1,35897,4658.1
2019-07-01,4750,4750,4652,4684.1,42257,4684.1
2019-06-30,4925,4925,4700,4720.9,61701,4720.9
2019-06-29,4850,5014.8,4819,4904.2,65034,4904.2
2019-06-28,4549.4,4776.8,4535,4776.7,113460,4776.7
2019-06-27,4610,4610,4482,4549.4,95837,4549.4
2019-06-26,5100,5500,4546.1,4580,159122,4580
2019-06-25,4100,4130,3941.1,3949.5,15313,3949.5
2019-06-24,3799,3938.1,3760,3938.1,9867,3938.1
2019-06-23,3765,3765,3706,3750.6,2197,3750.6
2019-06-22,3759.9,3759.9,3710.1,3745.5,393,3745.5
2019-06-21,3799.9,3799.9,3680,3714.5,1087,3714.5
2019-06-20,3762,3778,3650,3777.3,8609,3777.3
2019-06-19,3717.3,3780,3717.3,3765,838,3765
2019-06-18,3570,3750,3570,3717.3,177,3717.3
2019-06-17,3620,3649,3620,3641.9,214,3641.9
2019-06-16,3650,3665,3649,3652.4,1068,3652.4
2019-06-15,3649.2,3658,3645.9,3652.9,206,3652.9
2019-06-14,3665,3668.1,3500,3649.2,1410,3649.2
2019-06-13,3668.9,3668.9,3668.9,3668.9,1,3668.9
2019-06-12,3680,3690,3635,3660,946,3660
2019-06-11,3650,3673,3620,3663.7,379,3663.7
2019-06-10,3602,3665,3600,3655.6,1323,3655.6
2019-06-09,3699.8,3699.8,3600.2,3652.8,1825,3652.8
2019-06-08,3655,3729,3655,3665.2,196,3665.2
2019-06-07,3715,3720,3690,3712.1,8222,3712.1
2019-06-06,3745,3745,3630,3709.4,1484,3709.4
2019-06-05,3625,3659,3625,3649.3,854,3649.3
2019-06-04,3550,3610,3540.1,3600.7,4222,3600.7
2019-06-03,3549,3550,3530,3539.9,1161,3539.9
2019-06-02,3550,3550,3523.1,3526.8,649,3526.8
2019-06-01,3500,3574.9,3500,3549.1,1533,3549.1
2019-05-31,3550,3599.7,3500,3567.4,4413,3567.4
2019-05-30,3450.1,3510,3430,3500.5,1742,3500.5
2019-05-29,3455,3462,3455,3461.1,261,3461.1
2019-05-28,3450,3490,3450,3479,1356,3479
2019-05-27,3460,3477.1,3460,3460.1,594,3460.1
2019-05-26,3451.7,3460.2,3451.7,3459.4,158,3459.4
2019-05-25,3450.1,3499,3440.5,3451.7,321,3451.7
2019-05-24,3455,3461,3450,3450.1,2045,3450.1
2019-05-23,3480,3487,3456.1,3458.5,929,3458.5
2019-05-22,3455.6,3500,3451,3453,644,3453
2019-05-21,3455.6,3455.6,3455.6,3455.6,6,3455.6
2019-05-20,3481,3539,3452,3455.6,2819,3455.6
2019-05-19,3599.9,3599.9,3480.4,3494.4,650,3494.4
2019-05-18,3510,3600,3510,3527.2,1627,3527.2
2019-05-17,3456,3500,3451.3,3475.1,191,3475.1
2019-05-16,3442.7,3465,3442.7,3458,231,3458
2019-05-15,3434.3,3478.8,3434.3,3452.7,5547,3452.7
2019-05-14,3433.7,3469.6,3433.3,3450.1,1832,3450.1
2019-05-13,3450.2,3460,3448.5,3452.3,1833,3452.3
2019-05-12,3312,3549,3312,3447.5,50,3447.5
2019-05-11,3450.1,3460,3450,3450.1,301,3450.1
2019-05-10,3463.3,3470,3463.2,3464.2,1011,3464.2
2019-05-09,3512.2,3512.2,3500,3504.4,349,3504.4
2019-05-08,3539,3550,3500,3541.7,2050,3541.7
2019-05-07,3528,3550,3470,3536.5,5747,3536.5
2019-05-06,3461,3530,3461,3524.9,1349,3524.9
2019-05-05,3460.1,3530,3460.1,3503.2,5621,3503.2
2019-05-04,3420,3499.9,3391,3456.7,30028,3456.7
2019-05-03,3398.4,3430,3398.4,3427.9,15881,3427.9
2019-05-02,3394.4,3397.7,3350.1,3374.5,124,3374.5
2019-05-01,3374,3400,3370,3397.1,314,3397.1
2019-04-30,3400,3448.1,3385,3398.5,623,3398.5
2019-04-29,3461,3497.3,3400,3471.1,2298,3471.1
2019-04-28,3351.2,3511.8,3340,3483.8,17536,3483.8
2019-04-27,3314,3370,3300,3344.6,14805,3344.6
2019-04-26,3293.1,3335,3280,3313.1,89,3313.1
2019-04-25,3280,3300,3275.1,3293.1,435,3293.1
2019-04-24,3300,3300,3294,3299.8,323,3299.8
